Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,On Assault Weapons: Should owning guns that fire quickly be:,On Magazines Holding Over Ten Bullets: Who should have them?,On Background Checks for Assault Weapons: Should there be checks to ensure owners are allowed to have them?,On Keeping Assault Weapons Away from Children: Should it be illegal to leave these guns where kids can find them?,"Do You Own a Gun? (Excluding paintball, BB, or pellet guns)","Does Someone in Your Home Own a Gun? (Excluding paintball, BB, or pellet guns)",Your Zip Code: (To understand regional views),Your Education Level: (Just the highest completed),Do you think of yourself as,Do you see yourself as,Gender,Age,Major US Region,Device,Household Income,is_gun_owner,has_gun_in_house,political_lean,leans_left,leans_right,leans_center,for_assault_weapon_ban,for_large_magazine_ban,for_background_checks,for_safe_storage_laws
114569315146.0,430645356.0,04/03/2024 06:27:06 PM,04/03/2024 06:28:06 PM,,,,,22894525c74c0549764edc9928,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,No,No,91335,Some college,A Democrat?,,male,30_to_44,pacific,ios_mobile,50000_to_74999,False,False,left,True,False,False,True,True,True,True
114569315102.0,430645356.0,04/03/2024 06:26:25 PM,04/03/2024 06:28:01 PM,,,,,5fc930251139c7c2c9e012a4f4,smc,Open to everyone?,Just military and police?,"Yes, for all owners",Yes,Yes,Yes,47401,College degree,Not really either (Independent)?,In the middle and cautious about change (moderate)?,male,60_above,east_north_central,ios_mobile,75000_to_99999,True,True,center,False,False,True,False,True,True,True
114569315079.0,430645356.0,04/03/2024 06:27:08 PM,04/03/2024 06:27:59 PM,,,,,b2c71b784c32919d7fdbd46552,smc,Limited to military and police?,Anyone?,"Yes, for all owners",Yes,Yes,Yes,90210,College degree,A Democrat?,,male,18_to_29,pacific,ios_mobile,25000_to_49999,True,True,left,True,False,False,True,False,True,True
114569315075.0,430645356.0,04/03/2024 06:27:17 PM,04/03/2024 06:27:58 PM,,,,,016fe3167d80b2eca42bae67ee,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,No,No,10017,Advanced degree,A Republican?,,male,30_to_44,middle_atlantic,android_mobile,75000_to_99999,False,False,right,False,True,False,True,True,True,True
114569315066.0,430645356.0,04/03/2024 06:27:25 PM,04/03/2024 06:27:57 PM,,,,,87d4cd931bd9e65eb126c7d16b,smc,Open to everyone?,Anyone?,"Yes, for all owners",Yes,No,No,90003,College degree,A Democrat?,,male,30_to_44,south_atlantic,android_mobile,100000_to_124999,False,False,left,True,False,False,False,False,True,True
114569315033.0,430645356.0,04/03/2024 06:27:27 PM,04/03/2024 06:27:53 PM,,,,,1673422523ca54a55b13ec2b52,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,No,No,,College degree,Not really either (Independent)?,In the middle and cautious about change (moderate)?,male,30_to_44,west_south_central,ios_mobile,50000_to_74999,False,False,center,False,False,True,True,True,True,True
114569315011.0,430645356.0,04/03/2024 06:27:30 PM,04/03/2024 06:27:52 PM,,,,,309fbe9712f00fbe990287c981,smc,Limited to military and police?,Just military and police?,"No, not necessary for all",Yes,Yes,Yes,10001,Advanced degree,A Democrat?,,male,45_to_60,middle_atlantic,android_mobile,125000_to_149999,True,True,left,True,False,False,True,True,False,True
114569314824.0,430645356.0,04/03/2024 06:26:52 PM,04/03/2024 06:27:31 PM,,,,,2270e11a072d4c02927ef7f176,smc,Open to everyone?,Anyone?,"Yes, for all owners",Yes,No,No,20001,College degree,A Republican?,,male,30_to_44,pacific,android_mobile,100000_to_124999,False,False,right,False,True,False,False,False,True,True
114569314786.0,430645356.0,04/03/2024 06:25:46 PM,04/03/2024 06:27:25 PM,,,,,c4e6c4ce731a323b692ccde2a9,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,Yes,Yes,90240,Advanced degree,A Democrat?,,male,30_to_44,pacific,ios_mobile,150000_to_174999,True,True,left,True,False,False,True,True,True,True
114569314731.0,430645356.0,04/03/2024 06:25:21 PM,04/03/2024 06:27:19 PM,,,,,bfac073641fb1c30a57ac78541,smc,Not sure or prefer not to say?,Anyone?,"Yes, for all owners",Unsure or no comment,No,No,92244,High school diploma,Not really either (Independent)?,In the middle and cautious about change (moderate)?,male,30_to_44,pacific,ios_mobile,25000_to_49999,False,False,center,False,False,True,False,False,True,False
114569314673.0,430645356.0,04/03/2024 06:26:28 PM,04/03/2024 06:27:14 PM,,,,,baecbc8386d5e132a0f4296f13,smc,Open to everyone?,Anyone?,"Yes, for all owners",Yes,Yes,Yes,17502,College degree,A Republican?,,male,30_to_44,middle_atlantic,ios_mobile,75000_to_99999,True,True,right,False,True,False,False,False,True,True
114569314498.0,430645356.0,04/03/2024 06:26:31 PM,04/03/2024 06:26:54 PM,,,,,44ef3ef9d8c6dff16b7311c9d1,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,Yes,Yes,,Advanced degree,A Democrat?,,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999,True,True,left,True,False,False,True,True,True,True
114569314462.0,430645356.0,04/03/2024 06:25:57 PM,04/03/2024 06:26:51 PM,,,,,150d8a05d540d919cdafa6632e,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,No,Yes,90002,Advanced degree,A Republican?,,male,30_to_44,south_atlantic,android_mobile,125000_to_149999,False,True,right,False,True,False,True,True,True,True
114569314464.0,430645356.0,04/03/2024 06:25:55 PM,04/03/2024 06:26:51 PM,,,,,3241e0db7d0b3f4387dfdb169c,smc,Limited to military?,Anyone?,"No, not necessary for all",Yes,No,No,90002,College degree,A Republican?,,male,45_to_60,south_atlantic,android_mobile,100000_to_124999,False,False,right,False,True,False,True,False,False,True
114569314434.0,430645356.0,04/03/2024 06:24:36 PM,04/03/2024 06:26:47 PM,,,,,388d4f561af1ee15a3a5a8b8c7,smc,Limited to military?,Just military and police?,"Yes, for all owners",Yes,No,Yes,8882,Some college,Not really either (Independent)?,More open to new ideas and changes (liberal)?,male,30_to_44,middle_atlantic,android_mobile,50000_to_74999,False,True,left,True,False,False,True,True,True,True
114569314246.0,430645356.0,04/03/2024 06:26:02 PM,04/03/2024 06:26:22 PM,,,,,a8363b778f037c1b2faf3df3f7,smc,Limited to military and police?,Anyone?,"Yes, for all owners",No,No,No,77083,Some college,A Democrat?,,male,18_to_29,west_south_central,ios_mobile,100000_to_124999,False,False,left,True,False,False,True,False,True,False
114569314161.0,430645356.0,04/03/2024 06:25:47 PM,04/03/2024 06:26:13 PM,,,,,338ce81a8b0401d9a2f2906718,smc,Limited to military?,Just military and police?,"No, not necessary for all",No,Yes,Yes,2148,High school diploma,A Republican?,,male,30_to_44,south_atlantic,android_mobile,75000_to_99999,True,True,right,False,True,False,True,True,False,False
114569314108.0,430645356.0,04/03/2024 06:25:37 PM,04/03/2024 06:26:07 PM,,,,,e00dca67dd73f4eeb2413980db,smc,Limited to military and police?,Just military and police?,"No, not necessary for all",Yes,No,Yes,38610,High school diploma,A Democrat?,,male,30_to_44,east_south_central,ios_mobile,25000_to_49999,False,True,left,True,False,False,True,True,False,True
114569313660.0,430645356.0,04/03/2024 06:24:39 PM,04/03/2024 06:25:10 PM,,,,,5864c0c62a227069200a803a44,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,No,No,20003,College degree,A Republican?,,male,30_to_44,pacific,android_mobile,125000_to_149999,False,False,right,False,True,False,True,True,True,True
114569313591.0,430645356.0,04/03/2024 06:23:34 PM,04/03/2024 06:25:00 PM,,,,,988733fcd2704ae0588abd7912,smc,Limited to military and police?,Anyone?,"Yes, for all owners",Yes,Yes,Yes,47404,College degree,Not really either (Independent)?,Preferring traditional ways and less change (conservative)?,male,45_to_60,east_north_central,ios_mobile,75000_to_99999,True,True,right,False,True,False,True,False,True,True
114569313303.0,430645356.0,04/03/2024 06:23:30 PM,04/03/2024 06:24:23 PM,,,,,7b7ffa2f74b92b3e8fd0dff252,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,Yes,Yes,,College degree,A Democrat?,,male,30_to_44,new_england,android_mobile,100000_to_124999,True,True,left,True,False,False,True,True,True,True
114569311539.0,430645356.0,04/03/2024 06:03:55 PM,04/03/2024 06:20:49 PM,,,,,8da92119aa4852722b72407153,smc,Limited to military?,Just military and police?,"Yes, for all owners",Yes,No,No,80306,College degree,Not really either (Independent)?,More open to new ideas and changes (liberal)?,male,18_to_29,east_north_central,ios_mobile,75000_to_99999,False,False,left,True,False,False,True,True,True,True
114569310847.0,430645356.0,04/03/2024 06:18:34 PM,04/03/2024 06:19:26 PM,,,,,2d8d13f6c2bed5edafc64243cb,smc,Limited to military?,Just military and police?,"Yes, for all owners",Yes,No,No,77035,Advanced degree,Not really either (Independent)?,In the middle and cautious about change (moderate)?,male,30_to_44,pacific,ios_mobile,200000_and_up,False,False,center,False,False,True,True,True,True,True
114569308798.0,430645356.0,04/03/2024 06:14:15 PM,04/03/2024 06:15:06 PM,,,,,7e4dcb9f2abc5791797703ceb2,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,No,No,92505,College degree,A Republican?,,male,45_to_60,pacific,android_mobile,125000_to_149999,False,False,right,False,True,False,True,True,True,True
114569308393.0,430645356.0,04/03/2024 06:13:44 PM,04/03/2024 06:14:15 PM,,,,,22d15117815105f69180c39ab3,smc,Limited to military?,Just military?,"No, not necessary for all",Yes,Yes,Yes,90002,College degree,A Republican?,,male,30_to_44,south_atlantic,android_mobile,125000_to_149999,True,True,right,False,True,False,True,True,False,True
114569306427.0,430645356.0,04/03/2024 06:03:07 PM,04/03/2024 06:10:33 PM,,,,,c6da70c83f3b0f28c67d95d599,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,Yes,Yes,10010,Advanced degree,A Republican?,,male,30_to_44,west_south_central,android_mobile,125000_to_149999,True,True,right,False,True,False,True,True,True,True
114569303541.0,430645356.0,04/03/2024 06:04:43 PM,04/03/2024 06:05:12 PM,,,,,9bb00d86473135a474d84fb9ba,smc,Limited to military?,Just military and police?,"Yes, for all owners",Unsure or no comment,Yes,Yes,7,Didn't finish high school,A Republican?,,male,18_to_29,east_north_central,ios_mobile,100000_to_124999,True,True,right,False,True,False,True,True,True,False
114569302761.0,430645356.0,04/03/2024 06:02:45 PM,04/03/2024 06:03:32 PM,,,,,815456720c8c2aec7ae046260a,smc,Open to everyone?,Anyone?,"Yes, for all owners",Yes,No,No,85851,Some college,A Republican?,,male,30_to_44,mountain,android_mobile,50000_to_74999,False,False,right,False,True,False,False,False,True,True
114569302365.0,430645356.0,04/03/2024 06:02:00 PM,04/03/2024 06:02:45 PM,,,,,58d83f3532c470434ecbdeabda,smc,Limited to military?,Anyone?,"Yes, for all owners",Yes,Yes,Yes,123,High school diploma,A Democrat?,,male,45_to_60,east_south_central,ios_mobile,50000_to_74999,True,True,left,True,False,False,True,False,True,True
114569302136.0,430645356.0,04/03/2024 06:01:20 PM,04/03/2024 06:02:19 PM,,,,,38e86d04f2daa0762d4d76072c,smc,Open to everyone?,Anyone?,"Yes, for all owners",Yes,Yes,Yes,96003,High school diploma,A Republican?,,male,30_to_44,pacific,android_mobile,25000_to_49999,True,True,right,False,True,False,False,False,True,True
114569302095.0,430645356.0,04/03/2024 05:58:38 PM,04/03/2024 06:02:15 PM,,,,,f71d5b3579035a79f67b37e667,smc,Limited to military and police?,Just military?,"Yes, for all owners",Yes,No,No,2301,College degree,A Republican?,,male,45_to_60,new_england,ios_mobile,100000_to_124999,False,False,right,False,True,False,True,True,True,True
114569301264.0,430645356.0,04/03/2024 06:00:07 PM,04/03/2024 06:00:27 PM,,,,,dd68de127163e8fd3f31f36e66,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,No,No,10001,Advanced degree,A Republican?,,male,45_to_60,middle_atlantic,android_mobile,125000_to_149999,False,False,right,False,True,False,True,True,True,True
114569300490.0,430645356.0,04/03/2024 05:57:32 PM,04/03/2024 05:58:51 PM,,,,,711c49c8598f9d5016e9c6ec2b,smc,Not sure or prefer not to say?,Unsure or rather not say?,Not sure or no comment,Unsure or no comment,Yes,Yes,37086,High school diploma,Not really either (Independent)?,Preferring traditional ways and less change (conservative)?,male,60_above,east_south_central,ios_mobile,10000_to_24999,True,True,right,False,True,False,False,False,False,False
114569300449.0,430645356.0,04/03/2024 05:58:23 PM,04/03/2024 05:58:46 PM,,,,,5f692d396c9df5e9e8c2a38a28,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,No,No,10001,Advanced degree,A Republican?,,male,45_to_60,middle_atlantic,android_mobile,125000_to_149999,False,False,right,False,True,False,True,True,True,True
114569297977.0,430645356.0,04/03/2024 05:52:09 PM,04/03/2024 05:53:39 PM,,,,,58be24ca1e376619a85692ad58,smc,Limited to military and police?,Just military?,"Yes, for all owners",Yes,Yes,Yes,90805,College degree,Something else?,In the middle and cautious about change (moderate)?,male,18_to_29,pacific,ios_mobile,0_to_9999,True,True,center,False,False,True,True,True,True,True
114569297159.0,430645356.0,04/03/2024 05:50:10 PM,04/03/2024 05:52:05 PM,,,,,752c2aed9fa0f0611ab07b8f99,smc,Limited to military and police?,Anyone?,"Yes, for all owners",Yes,Yes,Yes,32128,College degree,A Republican?,,male,60_above,south_atlantic,pc_windows,50000_to_74999,True,True,right,False,True,False,True,False,True,True
114569297068.0,430645356.0,04/03/2024 05:50:52 PM,04/03/2024 05:51:48 PM,,,,,6443ab8db3901d557331a31520,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,No,No,48310,Some college,A Republican?,,male,30_to_44,east_north_central,ios_mobile,10000_to_24999,False,False,right,False,True,False,True,True,True,True
114569296925.0,430645356.0,04/03/2024 04:18:52 PM,04/03/2024 05:51:37 PM,,,,,8400bd9e85a496bff07d584403,smc,Limited to military?,Just military and police?,"Yes, for all owners",No,Yes,No,,Advanced degree,A Democrat?,,female,45_to_60,middle_atlantic,android_mobile,200000_and_up,True,True,left,True,False,False,True,True,True,False
114569296898.0,430645356.0,04/03/2024 05:50:37 PM,04/03/2024 05:51:33 PM,,,,,9a8f6a803f5068984795a7e770,smc,Open to everyone?,Just military?,"No, not necessary for all",Yes,Yes,No,90640,Didn't finish high school,A Democrat?,,male,30_to_44,pacific,android_mobile,175000_to_199999,True,True,left,True,False,False,False,True,False,True
114569295677.0,430645356.0,04/03/2024 05:47:32 PM,04/03/2024 05:49:00 PM,,,,,c8e9c4e30a93691288d357234e,smc,Limited to military?,Just military and police?,"Yes, for all owners",Yes,No,No,47374,High school diploma,A Republican?,,male,18_to_29,east_north_central,ios_mobile,0_to_9999,False,False,right,False,True,False,True,True,True,True
114569293705.0,430645356.0,04/03/2024 05:44:31 PM,04/03/2024 05:45:08 PM,,,,,f0842c72c8f98d4673c7c8e486,smc,Not sure or prefer not to say?,Unsure or rather not say?,"Yes, for all owners",Yes,Yes,Yes,37306,Advanced degree,A Republican?,,male,30_to_44,east_south_central,android_mobile,125000_to_149999,True,True,right,False,True,False,False,False,True,True
114569290342.0,430645356.0,04/03/2024 05:35:36 PM,04/03/2024 05:38:35 PM,,,,,56827a3d10287d9a5541cc8235,smc,Open to everyone?,Anyone?,"Yes, for all owners",Yes,Yes,Yes,6492,College degree,Not really either (Independent)?,In the middle and cautious about change (moderate)?,male,30_to_44,new_england,android_mobile,25000_to_49999,True,True,center,False,False,True,False,False,True,True
114569289770.0,430645356.0,04/03/2024 05:36:22 PM,04/03/2024 05:37:29 PM,,,,,cc38bf6017e613163a85eb759c,smc,Limited to military?,Just military?,"No, not necessary for all",Yes,Yes,Yes,20003,Advanced degree,A Republican?,,male,30_to_44,south_atlantic,android_mobile,100000_to_124999,True,True,right,False,True,False,True,True,False,True
114569289602.0,430645356.0,04/03/2024 05:36:05 PM,04/03/2024 05:37:10 PM,,,,,58120a6e114f5c3faf3aa7b3c7,smc,Limited to military?,Just military?,"Yes, for all owners",No,No,Yes,53158,Advanced degree,Not really either (Independent)?,Preferring traditional ways and less change (conservative)?,male,30_to_44,east_north_central,ios_mobile,50000_to_74999,False,True,right,False,True,False,True,True,True,False
114569289035.0,430645356.0,04/03/2024 05:35:20 PM,04/03/2024 05:36:01 PM,,,,,060ad8c91ab64b745c6315fe63,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,No,No,10001,Advanced degree,A Republican?,,male,45_to_60,middle_atlantic,android_mobile,125000_to_149999,False,False,right,False,True,False,True,True,True,True
114569288034.0,430645356.0,04/03/2024 05:21:34 PM,04/03/2024 05:34:18 PM,,,,,eda78b7e24b503d43635eae090,smc,Open to everyone?,Just military and police?,"Yes, for all owners",Unsure or no comment,Yes,Yes,14710,High school diploma,A Republican?,,male,45_to_60,middle_atlantic,android_mobile,100000_to_124999,True,True,right,False,True,False,False,True,True,False
114569287068.0,430645356.0,04/03/2024 05:31:09 PM,04/03/2024 05:32:31 PM,,,,,7c8819e4a3a74c6ed2e3158d04,smc,Not sure or prefer not to say?,Anyone?,Not sure or no comment,Unsure or no comment,No,No,96358,Some college,Something else?,More open to new ideas and changes (liberal)?,male,18_to_29,pacific,ios_mobile,0_to_9999,False,False,left,True,False,False,False,False,False,False
114569286088.0,430645356.0,04/03/2024 05:29:07 PM,04/03/2024 05:30:48 PM,,,,,cbceaa7cfc6c005bb9c0c06010,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,Yes,Yes,1007,College degree,Not really either (Independent)?,In the middle and cautious about change (moderate)?,male,45_to_60,new_england,ios_mobile,75000_to_99999,True,True,center,False,False,True,True,True,True,True
114569283880.0,430645356.0,04/03/2024 05:25:29 PM,04/03/2024 05:26:55 PM,,,,,740da42dc515b885eb2199e82b,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,No,No,68521,College degree,Not really either (Independent)?,In the middle and cautious about change (moderate)?,male,30_to_44,west_north_central,android_mobile,75000_to_99999,False,False,center,False,False,True,True,True,True,True
114569282697.0,430645356.0,04/03/2024 05:23:51 PM,04/03/2024 05:24:46 PM,,,,,1b8b7917a04270f7a61d8b1ea4,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,No,No,11747,College degree,A Democrat?,,male,60_above,middle_atlantic,ios_mobile,75000_to_99999,False,False,left,True,False,False,True,True,True,True
114569281614.0,430645356.0,04/03/2024 05:21:24 PM,04/03/2024 05:22:36 PM,,,,,b1d1b44b271a1d331e34ca5720,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,Yes,Yes,60016,College degree,A Democrat?,,male,45_to_60,east_north_central,android_mobile,10000_to_24999,True,True,left,True,False,False,True,True,True,True
114569281225.0,430645356.0,04/03/2024 05:19:22 PM,04/03/2024 05:21:53 PM,,,,,13755446d2a0f4f33327622902,smc,Limited to military and police?,Unsure or rather not say?,"Yes, for all owners",Yes,No,No,84335,Advanced degree,Not really either (Independent)?,In the middle and cautious about change (moderate)?,male,30_to_44,mountain,android_mobile,100000_to_124999,False,False,center,False,False,True,True,False,True,True
114569279791.0,430645356.0,04/03/2024 05:18:11 PM,04/03/2024 05:19:14 PM,,,,,a107d4f101f27b26a2d6871491,smc,Limited to military?,Just military and police?,"Yes, for all owners",Yes,No,No,33772,Advanced degree,A Democrat?,,male,60_above,south_atlantic,ios_mobile,25000_to_49999,False,False,left,True,False,False,True,True,True,True
114569279061.0,430645356.0,04/03/2024 05:17:18 PM,04/03/2024 05:17:51 PM,,,,,abfd49da6f0521b599b42e28ba,smc,Limited to military?,Just military and police?,"Yes, for all owners",No,Yes,Yes,77494,Advanced degree,A Democrat?,,male,30_to_44,west_south_central,android_mobile,100000_to_124999,True,True,left,True,False,False,True,True,True,False
114569278214.0,430645356.0,04/03/2024 05:14:08 PM,04/03/2024 05:16:22 PM,,,,,d43cf4fea7513893cffc7cf609,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,Yes,Yes,16510,College degree,A Democrat?,,male,30_to_44,middle_atlantic,ios_mobile,75000_to_99999,True,True,left,True,False,False,True,True,True,True
114569275338.0,430645356.0,04/03/2024 05:10:18 PM,04/03/2024 05:11:20 PM,,,,,8aee51643971d28c6f7a31c776,smc,Open to everyone?,Anyone?,"Yes, for all owners",Unsure or no comment,Yes,Yes,29440,College degree,A Republican?,,male,60_above,south_atlantic,ios_mobile,25000_to_49999,True,True,right,False,True,False,False,False,True,False
114569275236.0,430645356.0,04/03/2024 05:10:42 PM,04/03/2024 05:11:09 PM,,,,,21595b0ebcfe5b47ee64bf58b3,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,Yes,Yes,,Didn't finish high school,A Democrat?,,male,45_to_60,middle_atlantic,android_mobile,125000_to_149999,True,True,left,True,False,False,True,True,True,True
114569275152.0,430645356.0,04/03/2024 05:09:40 PM,04/03/2024 05:11:00 PM,,,,,5726498a1aa58de7f06cc37513,smc,Limited to military and police?,Unsure or rather not say?,"Yes, for all owners",Unsure or no comment,No,No,54467,College degree,Not really either (Independent)?,More open to new ideas and changes (liberal)?,male,30_to_44,east_north_central,ios_mobile,100000_to_124999,False,False,left,True,False,False,True,False,True,False
114569275008.0,430645356.0,04/03/2024 05:09:41 PM,04/03/2024 05:10:44 PM,,,,,f5a1927b46563771f6805b88b2,smc,Not sure or prefer not to say?,Unsure or rather not say?,"Yes, for all owners",Yes,Yes,Yes,90210,Advanced degree,Not really either (Independent)?,In the middle and cautious about change (moderate)?,male,30_to_44,pacific,android_mobile,100000_to_124999,True,True,center,False,False,True,False,False,True,True
114569274437.0,430645356.0,04/03/2024 05:09:17 PM,04/03/2024 05:09:41 PM,,,,,a8c23562a922d1958dc8ea5219,smc,Limited to military?,Unsure or rather not say?,"Yes, for all owners",Yes,Yes,Yes,94521,Advanced degree,Not really either (Independent)?,In the middle and cautious about change (moderate)?,male,18_to_29,pacific,ios_mobile,200000_and_up,True,True,center,False,False,True,True,False,True,True
114569272655.0,430645356.0,04/03/2024 05:05:32 PM,04/03/2024 05:06:27 PM,,,,,5627e79f3180319f92f39c86ec,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,Yes,Yes,70668,College degree,A Republican?,,male,30_to_44,west_south_central,ios_mobile,50000_to_74999,True,True,right,False,True,False,True,True,True,True
114569271323.0,430645356.0,04/03/2024 05:02:59 PM,04/03/2024 05:04:04 PM,,,,,948036427ed70601a35d7d8716,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,No,No,90504,Some college,A Democrat?,,male,60_above,pacific,ios_mobile,100000_to_124999,False,False,left,True,False,False,True,True,True,True
114569271262.0,430645356.0,04/03/2024 05:03:27 PM,04/03/2024 05:03:57 PM,,,,,c2e264bf3068b08964fef3661c,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,No,No,90002,Advanced degree,A Republican?,,male,45_to_60,south_atlantic,android_mobile,100000_to_124999,False,False,right,False,True,False,True,True,True,True
114569269006.0,430645356.0,04/03/2024 04:57:59 PM,04/03/2024 05:00:27 PM,,,,,701474c152915eb536e3072b25,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,No,No,2879,College degree,A Democrat?,,male,60_above,new_england,pc_windows,200000_and_up,False,False,left,True,False,False,True,True,True,True
114569268821.0,430645356.0,04/03/2024 04:57:56 PM,04/03/2024 04:59:41 PM,,,,,432ed3597b15ef61e5f55b1ac2,smc,Open to everyone?,Anyone?,"No, not necessary for all",Yes,Yes,Yes,71118,High school diploma,A Republican?,,male,45_to_60,west_south_central,android_mobile,25000_to_49999,True,True,right,False,True,False,False,False,False,True
